JD,mag,I_Magnitude,band,val
2453480.70602,15.315,0,V,V
2453480.71354,15.282,0,V,V
2453480.72105,15.269,0,V,V
2453480.72856,15.424,0,V,V
2453480.73608,15.362,0,V,V
2453480.74360,15.465,0,V,V
2453480.75112,15.175,0,V,V
2453480.75863,14.794,0,V,V
2453480.76616,14.585,0,V,V
2453480.77367,15.251,0,V,V
2453480.78119,14.958,0,V,V
2453480.78872,15.196,0,V,V
2453480.79625,15.424,0,V,V
2453480.80376,15.183,0,V,V
2453480.81128,15.102,0,V,V
2453480.81880,15.214,0,V,V
2453480.82632,16.261,0,V,V
2453480.83385,15.754,0,V,V
2453480.84137,15.584,0,V,V
